,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,int_rates_add_2pct,new_term
0,112435993,,2300,2300,2300,36 months,12.62,77.08,C,C1,Jun-17,Current,n,,credit_card,Credit card refinancing,148xx,NY,21.61,0,Sep-85,1,,,4,0,3911,55.1,6,w,12.872399999999999,48 months
2,112436985,,6025,6025,6025,36 months,15.05,209.01,C,C4,Jun-17,Current,n,,home_improvement,Home improvement,018xx,MA,8.88,0,Jun-02,0,,,11,0,12425,44.9,27,w,15.351,48 months
3,112439006,,20400,20400,20400,36 months,9.44,652.91,B,B1,Jun-17,Current,n,,car,Car financing,913xx,CA,27.06,0,Jan-07,1,,,15,0,8769,18.7,19,w,9.6288,48 months
4,112438929,,13000,13000,13000,36 months,11.99,431.73,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,560xx,MN,6.79,1,Feb-02,0,16.0,,5,0,6866,88.0,24,w,12.229800000000001,48 months
5,112230200,,12000,12000,12000,36 months,9.44,384.06,B,B1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,184xx,PA,18.34,0,Aug-97,0,35.0,83.0,14,1,15025,58.2,30,w,9.6288,48 months
6,112210041,,6000,6000,6000,36 months,10.42,194.79,B,B3,Jun-17,Current,n,,medical,Medical expenses,773xx,TX,30.63,0,Mar-92,0,70.0,71.0,10,1,9332,59.1,28,w,10.6284,48 months
11,112436898,,4000,4000,4000,36 months,7.97,125.3,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,344xx,FL,13.03,0,Aug-05,0,24.0,,11,0,3870,34.6,11,w,8.1294,48 months
12,112156030,,10000,10000,10000,36 months,9.93,322.35,B,B2,Jun-17,Current,n,,credit_card,Credit card refinancing,210xx,MD,8.99,0,Aug-05,1,51.0,72.0,13,2,11868,20.5,15,w,10.1286,48 months
14,112441150,,20000,20000,20000,36 months,10.91,653.93,B,B4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,605xx,IL,20.82,0,Jun-66,0,,,15,0,30759,17.8,30,w,11.1282,48 months
15,112438887,,15000,15000,15000,36 months,7.97,469.84,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,631xx,MO,11.2,0,Aug-07,0,,,14,0,14460,28.9,26,w,8.1294,48 months
16,112390231,,20000,20000,20000,36 months,9.44,640.1,B,B1,Jun-17,Current,n,,credit_card,Credit card refinancing,300xx,GA,25.61,2,Aug-92,0,16.0,,8,0,20589,81.7,14,w,9.6288,48 months
17,112156817,,10000,10000,10000,36 months,7.21,309.74,A,A3,Jun-17,Current,n,,credit_card,Credit card refinancing,327xx,FL,6.58,0,Aug-93,2,44.0,,12,0,18633,32.7,59,w,7.3542,48 months
18,111927706,,9600,9600,9600,36 months,7.97,300.7,A,A5,Jun-17,Current,n,,credit_card,Credit card refinancing,880xx,NM,18.34,0,Aug-05,0,37.0,,16,0,11808,48.6,44,w,8.1294,48 months
19,112260236,,2400,2400,2400,36 months,11.99,79.71,B,B5,Jun-17,Current,n,,vacation,Vacation,601xx,IL,16.19,1,Apr-07,0,23.0,,16,0,8930,66.6,35,w,12.229800000000001,48 months
20,112436935,,6000,6000,6000,36 months,9.44,192.03,B,B1,Jun-17,Current,n,,credit_card,Credit card refinancing,606xx,IL,6.97,0,Dec-07,1,,,3,0,5054,71.2,13,w,9.6288,48 months
21,112436920,,26000,26000,26000,36 months,9.93,838.1,B,B2,Jun-17,Current,n,,home_improvement,Home improvement,198xx,DE,12.19,0,Jul-98,0,,69.0,7,1,6857,12.4,10,w,10.1286,48 months
22,111743276,,8000,8000,8000,36 months,14.08,273.74,C,C3,Jun-17,Current,n,,vacation,Vacation,070xx,NJ,31.58,0,Nov-06,0,,,16,0,36658,86.7,28,w,14.3616,48 months
23,112432991,,3000,3000,3000,36 months,7.97,93.97,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,483xx,MI,12.71,0,Jul-07,1,38.0,,10,0,3443,31.0,17,w,8.1294,48 months
26,112441324,,3600,3600,3600,36 months,7.35,111.74,A,A4,Jun-17,Current,n,,credit_card,Credit card refinancing,658xx,MO,9.55,0,Oct-92,0,,,12,0,12060,11.7,30,w,7.497,48 months
27,112437968,,7000,7000,7000,36 months,7.35,217.27,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,300xx,GA,19.22,0,Nov-04,1,54.0,,8,0,20055,79.0,12,w,7.497,48 months
29,112270114,,4200,4200,4200,36 months,10.91,137.33,B,B4,Jun-17,Current,n,,other,Other,606xx,IL,31.28,0,Sep-04,0,37.0,16.0,23,2,9594,66.2,33,w,11.1282,48 months
30,112156214,,5000,5000,5000,36 months,7.35,155.19,A,A4,Jun-17,Current,n,,car,Car financing,481xx,MI,15.76,0,Oct-04,1,72.0,,12,0,3697,13.2,25,w,7.497,48 months
32,111872988,,10000,10000,10000,36 months,9.44,320.05,B,B1,Jun-17,Current,n,,credit_card,Credit card refinancing,458xx,OH,30.91,0,Jun-93,0,,,16,0,9983,24.3,24,w,9.6288,48 months
33,111735948,,6000,6000,6000,36 months,7.35,186.23,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,461xx,IN,19.02,0,Feb-04,0,,,15,0,5433,14.8,35,w,7.497,48 months
34,112438798,,4000,4000,4000,36 months,5.32,120.46,A,A1,Jun-17,Current,n,,home_improvement,Home improvement,480xx,MI,8.71,0,May-01,0,,,12,0,15774,29.0,25,w,5.4264,48 months
35,112220235,,3000,3000,3000,36 months,16.02,105.51,C,C5,Jun-17,Current,n,,major_purchase,Major purchase,595xx,MT,17.79,0,Feb-08,1,50.0,,15,0,2432,36.3,20,w,16.3404,48 months
36,112436856,,2000,2000,2000,36 months,7.07,61.82,A,A2,Jun-17,Current,n,,medical,Medical expenses,917xx,CA,12.15,0,Apr-05,1,,,9,0,38,0.3,12,w,7.2114,48 months
38,112120118,,5800,5800,5800,36 months,12.62,194.37,C,C1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,794xx,TX,27.41,0,Jan-09,0,,,11,0,5710,32.3,16,w,12.872399999999999,48 months
39,112158057,,7500,7500,7500,36 months,7.35,232.79,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,206xx,MD,21.43,0,Apr-99,0,,,7,0,30569,62.9,16,w,7.497,48 months
41,110394088,,6000,6000,6000,36 months,11.99,199.26,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,647xx,MO,20.66,0,Oct-89,0,49.0,,10,0,14339,74.7,20,w,12.229800000000001,48 months
42,112028752,,5300,5300,5300,36 months,18.06,191.77,D,D2,Jun-17,Current,n,,other,Other,775xx,TX,2.64,0,Jun-04,0,72.0,67.0,3,1,1043,32.6,10,w,18.4212,48 months
44,110183156,,3800,3800,3800,36 months,10.91,124.25,B,B4,Jun-17,Current,n,,credit_card,Credit card refinancing,960xx,CA,24.85,0,Mar-79,0,,11.0,9,2,3700,34.9,14,w,11.1282,48 months
46,110411462,,12000,12000,12000,36 months,23.88,470.04,E,E2,Jun-17,Current,n,,credit_card,Credit card refinancing,075xx,NJ,13.75,1,Dec-04,3,5.0,,13,0,18180,53.3,27,w,24.357599999999998,48 months
49,112016659,,9500,9500,9500,36 months,9.44,304.05,B,B1,Jun-17,Current,n,,major_purchase,Major purchase,324xx,FL,2.48,0,Sep-05,0,,,8,0,1853,7.4,15,w,9.6288,48 months
51,111996192,,6000,6000,6000,36 months,10.42,194.79,B,B3,Jun-17,Current,n,,credit_card,Credit card refinancing,752xx,TX,14.69,0,Aug-11,1,,,14,0,5877,50.7,14,w,10.6284,48 months
52,112159881,,9600,9600,9600,36 months,12.62,321.71,C,C1,Jun-17,Current,n,,credit_card,Credit card refinancing,279xx,NC,14.87,0,Dec-05,0,,,8,0,22136,75.0,21,w,12.872399999999999,48 months
53,112339948,,13925,13925,13925,36 months,21.45,527.85,D,D5,Jun-17,Current,n,,credit_card,Credit card refinancing,114xx,NY,33.98,0,Oct-83,3,36.0,,14,0,10345,75.5,22,w,21.878999999999998,48 months
54,112329339,,15000,15000,15000,36 months,11.99,498.15,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,605xx,IL,13.63,0,Sep-86,2,60.0,67.0,19,1,32720,14.2,31,w,12.229800000000001,48 months
55,112043881,,9600,9600,9600,36 months,13.59,326.2,C,C2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,902xx,CA,19.38,1,Sep-87,0,16.0,,8,0,8608,64.2,15,w,13.8618,48 months
57,111895855,,25000,25000,25000,36 months,11.99,830.24,B,B5,Jun-17,Current,n,,credit_card,Credit card refinancing,062xx,CT,10.14,0,May-90,0,,84.0,10,1,9352,85.0,16,w,12.229800000000001,48 months
58,111733744,,6000,6000,6000,36 months,10.42,194.79,B,B3,Jun-17,Current,n,,credit_card,Credit card refinancing,930xx,CA,5.07,0,Jun-11,1,,,6,0,9268,51.5,7,w,10.6284,48 months
60,112438261,,9600,9600,9600,36 months,7.21,297.35,A,A3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,751xx,TX,18.32,0,Oct-00,1,31.0,,12,0,3485,12.8,32,w,7.3542,48 months
61,111428938,,1200,1200,1200,36 months,12.62,40.22,C,C1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,786xx,TX,18.83,0,Mar-05,0,,40.0,11,2,11900,58.9,20,w,12.872399999999999,48 months
63,111105363,,11200,11200,11200,36 months,5.32,337.29,A,A1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,226xx,VA,11.63,1,Feb-88,0,5.0,,9,0,28613,48.6,35,w,5.4264,48 months
65,111926979,,20000,20000,20000,36 months,12.62,670.23,C,C1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,483xx,MI,26.67,0,Nov-06,1,77.0,72.0,20,1,16561,46.4,36,w,12.872399999999999,48 months
66,111849153,,4500,4500,4500,36 months,10.42,146.1,B,B3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,720xx,AR,28.02,0,Mar-06,1,63.0,37.0,15,2,1283,9.7,24,w,10.6284,48 months
68,111494367,,20000,20000,20000,36 months,9.93,644.69,B,B2,Jun-17,Current,n,,debt_consolidation,Debt consolidation,945xx,CA,26.73,0,Dec-04,1,59.0,,13,0,19001,67.4,38,w,10.1286,48 months
69,112032398,,13725,13725,13725,36 months,7.97,429.91,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,440xx,OH,11.59,0,Jun-97,0,37.0,,7,0,14039,76.7,13,w,8.1294,48 months
